time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
3.966765403747558594e-01,1.917476038215681911e-04,7.669904152862727642e-04,6.823280709795653820e-04,1.530288755893707275e-01,-2.582773158792406321e-04,-4.495392204262316227e-04
4.000098705291748047e-01,3.834952076431363821e-04,1.150485593825578690e-03,1.017163619399070740e-01,1.542158126831054688e-01,2.935658558271825314e-04,-1.927642297232523561e-04
4.033432006835937500e-01,1.438106992281973362e-04,1.150485593825578690e-03,3.551724925637245178e-02,1.938124001026153564e-01,-6.722011021338403225e-04,-5.985621828585863113e-04
4.066765308380126953e-01,1.438106992281973362e-04,3.834952076431363821e-04,2.190680243074893951e-02,1.999389939010143280e-02,9.868959750747308135e-05,-1.060199458152055740e-03
4.100098609924316406e-01,3.355583176016807556e-04,3.834952076431363821e-04,5.426112562417984009e-02,2.736269682645797729e-02,-2.566222683526575565e-04,-2.851332537829875946e-04
4.133431911468505859e-01,3.355583176016807556e-04,-3.834952076431363821e-04,3.761721029877662659e-02,-2.827923297882080078e-01,-1.125957132899202406e-04,-4.385163774713873863e-04
4.166765213012695312e-01,5.273059359751641750e-04,-3.834952076431363821e-04,6.981110572814941406e-02,-1.501182168722152710e-01,-3.230215806979686022e-04,4.823982817470096052e-05
4.200098514556884766e-01,3.834952076431363821e-04,0.000000000000000000e+00,2.307141572237014771e-02,1.299968659877777100e-01,-2.485101867932826281e-04,1.063427334884181619e-04
4.233431816101074219e-01,4.793690095539204776e-05,-7.669904152862727642e-04,-6.253980845212936401e-02,-3.250453174114227295e-01,-2.485101867932826281e-04,1.063427334884181619e-04
4.266765117645263672e-01,4.793690095539204776e-05,7.669904152862727642e-04,3.874266985803842545e-03,-4.155473411083221436e-02,-8.139601413859054446e-05,-5.383216775953769684e-04
4.300098419189453125e-01,-4.793690095539204776e-05,3.834952076431363821e-04,-4.839446023106575012e-02,-5.519992858171463013e-02,-1.381949550705030560e-04,-1.258254778804257512e-04
